kod_ku_p,naz_ku_p,distributor,naz_kraj,kod_kraj,nuts3_kraj,naz_okres,kod_okres,lau1_p,platiod,neplatipo
600016,Abertamy,ÈEZ,Karlovarskı kraj,3051,CZ041,Karlovy Vary,40436,CZ0412,915148800000,253392451200000
600024,Høebeèná,ÈEZ,Karlovarskı kraj,3051,CZ041,Karlovy Vary,40436,CZ0412,915148800000,253392451200000
600032,Adamov u Èeskıch Budìjovic,EON,Jihoèeskı kraj,3034,CZ031,Èeské Budìjovice,40282,CZ0311,915148800000,253392451200000
600041,Adamov,EON,Jihomoravskı kraj,3115,CZ064,Blansko,40703,CZ0641,915148800000,253392451200000
600059,Dolní Adršpach,ÈEZ,Královéhradeckı kraj,3085,CZ052,Náchod,40584,CZ0523,915148800000,253392451200000
600067,Horní Adršpach,ÈEZ,Královéhradeckı kraj,3085,CZ052,Náchod,40584,CZ0523,915148800000,253392451200000
600075,Albeø,EON,Jihoèeskı kraj,3034,CZ031,Jindøichùv Hradec,40304,CZ0313,915148800000,253392451200000
600083,Albrechtice,EON,Jihoèeskı kraj,3034,CZ031,Strakonice,40339,CZ0316,915148800000,253392451200000
600091,Albrechtice u Mostu,ÈEZ,Ústeckı kraj,3069,CZ042,Most,40495,CZ0425,915148800000,253392451200000
600105,Jezeøí,ÈEZ,Ústeckı kraj,3069,CZ042,Most,40495,CZ0425,915148800000,253392451200000
600113,Albrechtice u Lanškrouna,ÈEZ,Pardubickı kraj,3093,CZ053,Ústí nad Orlicí,40649,CZ0534,915148800000,253392451200000
600121,Albrechtice u Èeského Tìšína,ÈEZ,Moravskoslezskı kraj,3140,CZ080,Karviná,40886,CZ0803,915148800000,253392451200000
600172,Albrechtice nad Orlicí,ÈEZ,Královéhradeckı kraj,3085,CZ052,Rychnov nad Knìnou,40592,CZ0524,915148800000,253392451200000
600199,Nová Ves u Albrechtic,ÈEZ,Královéhradeckı kraj,3085,CZ052,Rychnov nad Knìnou,40592,CZ0524,915148800000,253392451200000
600202,Štìpánovsko,ÈEZ,Královéhradeckı kraj,3085,CZ052,Rychnov nad Knìnou,40592,CZ0524,915148800000,253392451200000
600229,Albrechtice nad Vltavou,EON,Jihoèeskı kraj,3034,CZ031,Písek,40312,CZ0314,915148800000,253392451200000
600261,Údra,EON,Jihoèeskı kraj,3034,CZ031,Písek,40312,CZ0314,915148800000,253392451200000
600288,Albrechtice v Jizerskıch horách,ÈEZ,Libereckı kraj,3077,CZ051,Jablonec nad Nisou,40533,CZ0512,915148800000,253392451200000
600300,Albrechtièky,ÈEZ,Moravskoslezskı kraj,3140,CZ080,Novı Jièín,40894,CZ0804,915148800000,253392451200000
600318,Nová Horka,ÈEZ,Moravskoslezskı kraj,3140,CZ080,Novı Jièín,40894,CZ0804,915148800000,253392451200000
600326,Andìlka,ÈEZ,Libereckı kraj,3077,CZ051,Liberec,40541,CZ0513,915148800000,253392451200000
600369,Andìlská Hora,ÈEZ,Karlovarskı kraj,3051,CZ041,Karlovy Vary,40436,CZ0412,915148800000,253392451200000
600377,Anenská Studánka,ÈEZ,Pardubickı kraj,3093,CZ053,Ústí nad Orlicí,40649,CZ0534,915148800000,253392451200000
600385,Helvíkov,ÈEZ,Pardubickı kraj,3093,CZ053,Ústí nad Orlicí,40649,CZ0534,915148800000,253392451200000
600393,Antošovice,ÈEZ,Moravskoslezskı kraj,3140,CZ080,Ostrava-mìsto,40916,CZ0806,915148800000,253392451200000
600407,Archlebov,EON,Jihomoravskı kraj,3115,CZ064,Hodonín,40746,CZ0645,915148800000,253392451200000
600415,Arneštovice,EON,Kraj Vysoèina,3107,CZ063,Pelhøimov,40673,CZ0633,915148800000,253392451200000
600423,Arnolec,EON,Kraj Vysoèina,3107,CZ063,Jihlava,40665,CZ0632,915148800000,253392451200000
600431,Arnoltice,ÈEZ,Ústeckı kraj,3069,CZ042,Dìèín,40452,CZ0421,915148800000,253392451200000
600440,Bynovec,ÈEZ,Ústeckı kraj,3069,CZ042,Dìèín,40452,CZ0421,915148800000,253392451200000
600458,Labská Stráò,ÈEZ,Ústeckı kraj,3069,CZ042,Dìèín,40452,CZ0421,915148800000,253392451200000
600466,Arnoštovice,ÈEZ,Støedoèeskı kraj,3026,CZ020,Benešov,40169,CZ0201,915148800000,253392451200000
600521,Aš,ÈEZ,Karlovarskı kraj,3051,CZ041,Cheb,40428,CZ0411,915148800000,253392451200000
600598,Babí,ÈEZ,Královéhradeckı kraj,3085,CZ052,Trutnov,40606,CZ0525,915148800000,253392451200000
600601,Babice,ÈEZ,Støedoèeskı kraj,3026,CZ020,Praha-vıchod,40240,CZ0209,915148800000,253392451200000
600610,Velké Babice,ÈEZ,Královéhradeckı kraj,3085,CZ052,Hradec Králové,40568,CZ0521,915148800000,253392451200000
600636,Babice u Lesonic,EON,Kraj Vysoèina,3107,CZ063,Tøebíè,40681,CZ0634,915148800000,253392451200000
600644,Bolíkovice,EON,Kraj Vysoèina,3107,CZ063,Tøebíè,40681,CZ0634,915148800000,253392451200000
600652,Babice u Uherského Hradištì,EON,Zlínskı kraj,3131,CZ072,Uherské Hradištì,40835,CZ0722,915148800000,253392451200000
600661,Babice u Šternberka,ÈEZ,Olomouckı kraj,3123,CZ071,Olomouc,40789,CZ0712,915148800000,253392451200000
600679,Krakoøice,ÈEZ,Olomouckı kraj,3123,CZ071,Olomouc,40789,CZ0712,915148800000,253392451200000
600687,Babice u Kelèe,ÈEZ,Zlínskı kraj,3131,CZ072,Vsetín,40843,CZ0723,915148800000,253392451200000
600695,Babice nad Svitavou,EON,Jihomoravskı kraj,3115,CZ064,Brno-venkov,40720,CZ0643,915148800000,253392451200000
600709,Babice u Rosic,EON,Jihomoravskı kraj,3115,CZ064,Brno-venkov,40720,CZ0643,915148800000,253392451200000
600717,Babylon,ÈEZ,Plzeòskı kraj,3042,CZ032,Domalice,40355,CZ0321,915148800000,253392451200000
600725,Bácovice,EON,Kraj Vysoèina,3107,CZ063,Pelhøimov,40673,CZ0633,915148800000,253392451200000
600733,Milotièky,EON,Kraj Vysoèina,3107,CZ063,Pelhøimov,40673,CZ0633,915148800000,253392451200000
600741,Baèetín,ÈEZ,Královéhradeckı kraj,3085,CZ052,Rychnov nad Knìnou,40592,CZ0524,915148800000,253392451200000
600750,Sudín,ÈEZ,Královéhradeckı kraj,3085,CZ052,Rychnov nad Knìnou,40592,CZ0524,915148800000,253392451200000
600768,Baèice,EON,Kraj Vysoèina,3107,CZ063,Tøebíè,40681,CZ0634,915148800000,253392451200000
600776,Udeøice,EON,Kraj Vysoèina,3107,CZ063,Tøebíè,40681,CZ0634,915148800000,253392451200000
600784,Baèkov,ÈEZ,Kraj Vysoèina,3107,CZ063,Havlíèkùv Brod,40657,CZ0631,915148800000,253392451200000
600792,Lubno u Baèkova,ÈEZ,Kraj Vysoèina,3107,CZ063,Havlíèkùv Brod,40657,CZ0631,915148800000,253392451200000
600806,Zboí,ÈEZ,Kraj Vysoèina,3107,CZ063,Havlíèkùv Brod,40657,CZ0631,915148800000,253392451200000
600814,Baèkovice,EON,Kraj Vysoèina,3107,CZ063,Tøebíè,40681,CZ0634,915148800000,253392451200000
600822,Baèov,EON,Jihomoravskı kraj,3115,CZ064,Blansko,40703,CZ0641,915148800000,253392451200000
600831,Bakov nad Jizerou,ÈEZ,Støedoèeskı kraj,3026,CZ020,Mladá Boleslav,40223,CZ0207,915148800000,253392451200000
600849,Baliny,EON,Kraj Vysoèina,3107,CZ063,ïár nad Sázavou,40690,CZ0635,915148800000,253392451200000
600857,Banín,ÈEZ,Pardubickı kraj,3093,CZ053,Svitavy,40631,CZ0533,915148800000,253392451200000
600865,Bánov,EON,Zlínskı kraj,3131,CZ072,Uherské Hradištì,40835,CZ0722,915148800000,253392451200000
600873,Báòovice,EON,Jihoèeskı kraj,3034,CZ031,Jindøichùv Hradec,40304,CZ0313,915148800000,253392451200000
600881,Bantice,EON,Jihomoravskı kraj,3115,CZ064,Znojmo,40762,CZ0647,915148800000,253392451200000
600890,Barchov,ÈEZ,Královéhradeckı kraj,3085,CZ052,Hradec Králové,40568,CZ0521,915148800000,253392451200000
600903,Barchov u Pardubic,ÈEZ,Pardubickı kraj,3093,CZ053,Pardubice,40622,CZ0532,915148800000,253392451200000
600911,Barchovice,ÈEZ,Støedoèeskı kraj,3026,CZ020,Kolín,40193,CZ0204,915148800000,253392451200000
600920,Hryzely,ÈEZ,Støedoèeskı kraj,3026,CZ020,Kolín,40193,CZ0204,915148800000,253392451200000
600938,Radlice u Barchovic,ÈEZ,Støedoèeskı kraj,3026,CZ020,Kolín,40193,CZ0204,915148800000,253392451200000
600946,Barchùvek,ÈEZ,Královéhradeckı kraj,3085,CZ052,Hradec Králové,40568,CZ0521,915148800000,253392451200000
600954,Bartoòov,ÈEZ,Olomouckı kraj,3123,CZ071,Šumperk,40819,CZ0715,915148800000,253392451200000
